Type,Date,Price
GC Equity Fund,12/21/2005,118.29
GC Equity Fund,12/22/2005,117.49
GC Equity Fund,12/23/2005,119.08
GC Equity Fund,12/24/2005,119.08
GC Equity Fund,12/25/2005,119.08
GC Equity Fund,12/26/2005,119.08
GC Equity Fund,12/27/2005,119.08
GC Equity Fund,12/28/2005,119.18
GC Equity Fund,12/29/2005,120.07
GC Equity Fund,12/30/2005,120.07
GC Equity Fund,12/31/2005,120.07
GC Equity Fund,1/1/2006,120.07
GC Equity Fund,1/2/2006,120.07
GC Equity Fund,1/3/2006,121.76
GC Equity Fund,1/4/2006,123.04
GC Equity Fund,1/5/2006,124.69
GC Equity Fund,1/6/2006,124.88
GC Equity Fund,1/7/2006,124.88
GC Equity Fund,1/8/2006,124.88
GC Equity Fund,1/9/2006,125.76
GC Equity Fund,1/10/2006,125.95
GC Equity Fund,1/11/2006,125.76
GC Equity Fund,1/12/2006,125.95
GC Equity Fund,1/13/2006,126.74
GC Equity Fund,1/14/2006,126.74
GC Equity Fund,1/15/2006,126.74
GC Equity Fund,1/16/2006,128.14
GC Equity Fund,1/17/2006,127.35
GC Equity Fund,1/18/2006,125.39
GC Equity Fund,1/19/2006,126.67
GC Equity Fund,1/20/2006,126.18
GC Equity Fund,1/21/2006,126.18
GC Equity Fund,1/22/2006,126.18
GC Equity Fund,1/23/2006,124.05
GC Equity Fund,1/24/2006,126.28
GC Equity Fund,1/25/2006,126.96
GC Equity Fund,1/26/2006,126.27
GC Equity Fund,1/27/2006,127.95
GC Equity Fund,1/28/2006,127.95
GC Equity Fund,1/29/2006,127.95
GC Equity Fund,1/30/2006,127.95
GC Equity Fund,1/31/2006,127.95
GC Equity Fund,2/1/2006,129.14
GC Equity Fund,2/2/2006,128.55
GC Equity Fund,2/3/2006,127.46
GC Equity Fund,2/4/2006,127.46
GC Equity Fund,2/5/2006,127.46
GC Equity Fund,2/6/2006,129.34
GC Equity Fund,2/7/2006,129.44
GC Equity Fund,2/8/2006,127.29
GC Equity Fund,2/9/2006,126.5
GC Equity Fund,2/10/2006,126.3
GC Equity Fund,2/11/2006,126.3
GC Equity Fund,2/12/2006,126.3
GC Equity Fund,2/13/2006,125.81
GC Equity Fund,2/14/2006,126.68
GC Equity Fund,2/15/2006,126.78
GC Equity Fund,2/16/2006,126.58
GC Equity Fund,2/17/2006,126.58
GC Equity Fund,2/18/2006,126.58
GC Equity Fund,2/19/2006,126.58
GC Equity Fund,2/20/2006,127.17
GC Equity Fund,2/21/2006,127.17
GC Equity Fund,2/22/2006,126.49
GC Equity Fund,2/23/2006,126.19
GC Equity Fund,2/24/2006,126.68
GC Equity Fund,2/25/2006,126.68
GC Equity Fund,2/26/2006,126.68
GC Equity Fund,2/27/2006,127.46
GC Equity Fund,2/28/2006,126.77
GC Equity Fund,3/1/2006,127.06
GC Equity Fund,3/2/2006,128.24
GC Equity Fund,3/3/2006,128.03
GC Equity Fund,3/4/2006,128.03
GC Equity Fund,3/5/2006,128.03
GC Equity Fund,3/6/2006,127.91
GC Equity Fund,3/7/2006,125.73
GC Equity Fund,3/8/2006,124.05
GC Equity Fund,3/9/2006,124.54
GC Equity Fund,3/10/2006,125.43
GC Equity Fund,3/11/2006,125.43
GC Equity Fund,3/12/2006,125.43
GC Equity Fund,3/13/2006,126.68
GC Equity Fund,3/14/2006,125.99
GC Equity Fund,3/15/2006,127.57
GC Equity Fund,3/16/2006,127.96
GC Equity Fund,3/17/2006,128.84
GC Equity Fund,3/18/2006,128.84
GC Equity Fund,3/19/2006,128.84
GC Equity Fund,3/20/2006,129.32
GC Equity Fund,3/21/2006,128.92
GC Equity Fund,3/22/2006,128.13
GC Equity Fund,3/23/2006,128.91
GC Equity Fund,3/24/2006,129.29
GC Equity Fund,3/25/2006,129.29
GC Equity Fund,3/26/2006,129.29
GC Equity Fund,3/27/2006,131.16
GC Equity Fund,3/28/2006,131.75
GC Equity Fund,3/29/2006,132.04
GC Equity Fund,3/30/2006,132.92
GC Equity Fund,3/31/2006,133.91
GC Equity Fund,4/1/2006,133.91
GC Equity Fund,4/2/2006,133.91
GC Equity Fund,4/3/2006,136.64
GC Equity Fund,4/4/2006,137.03
GC Equity Fund,4/5/2006,137.03
GC Equity Fund,4/6/2006,140.39
GC Equity Fund,4/7/2006,140.29
GC Equity Fund,4/8/2006,140.29
GC Equity Fund,4/9/2006,140.29
GC Equity Fund,4/10/2006,139.77
GC Equity Fund,4/11/2006,139.86
GC Equity Fund,4/12/2006,139.07
GC Equity Fund,4/13/2006,140.63
GC Equity Fund,4/14/2006,140.63
GC Equity Fund,4/15/2006,140.63
GC Equity Fund,4/16/2006,140.63
GC Equity Fund,4/17/2006,140.63
GC Equity Fund,4/18/2006,142.46
GC Equity Fund,4/19/2006,143.82
GC Equity Fund,4/20/2006,144.88
GC Equity Fund,4/21/2006,144.48
GC Equity Fund,4/22/2006,144.48
GC Equity Fund,4/23/2006,144.48
GC Equity Fund,4/24/2006,142.99
GC Equity Fund,4/25/2006,141.39
GC Equity Fund,4/26/2006,142.87
GC Equity Fund,4/27/2006,142.86
GC Equity Fund,4/28/2006,142.55
GC Equity Fund,4/29/2006,142.55
GC Equity Fund,4/30/2006,142.55
GC Equity Fund,5/1/2006,142.55
GC Equity Fund,5/2/2006,144.01
GC Equity Fund,5/3/2006,146.09
GC Equity Fund,5/4/2006,147.95
GC Equity Fund,5/5/2006,147.95
GC Equity Fund,5/6/2006,147.95
GC Equity Fund,5/7/2006,147.95
GC Equity Fund,5/8/2006,150
GC Equity Fund,5/9/2006,149.4
GC Equity Fund,5/10/2006,148.9
GC Equity Fund,5/11/2006,150.08
GC Equity Fund,5/12/2006,149.08
GC Equity Fund,5/13/2006,149.08
GC Equity Fund,5/14/2006,149.08
GC Equity Fund,5/15/2006,146.33
GC Equity Fund,5/16/2006,143.59
GC Equity Fund,5/17/2006,145.94
GC Equity Fund,5/18/2006,143.38
GC Equity Fund,5/19/2006,142.98
GC Equity Fund,5/20/2006,142.98
GC Equity Fund,5/21/2006,142.98
GC Equity Fund,5/22/2006,137.25
GC Equity Fund,5/23/2006,135.86
GC Equity Fund,5/24/2006,136.76
GC Equity Fund,5/25/2006,135.85
GC Equity Fund,5/26/2006,137.51
GC Equity Fund,5/27/2006,137.51
GC Equity Fund,5/28/2006,137.51
GC Equity Fund,5/29/2006,137.98
GC Equity Fund,5/30/2006,138.07
GC Equity Fund,5/31/2006,138.07
GC Equity Fund,6/1/2006,136.87
GC Equity Fund,6/2/2006,138.74
GC Equity Fund,6/3/2006,138.74
GC Equity Fund,6/4/2006,138.74
GC Equity Fund,6/5/2006,137.74
GC Equity Fund,6/6/2006,137.63
GC Equity Fund,6/7/2006,135.25
GC Equity Fund,6/8/2006,129.61
GC Equity Fund,6/9/2006,129.6
GC Equity Fund,6/10/2006,129.6
GC Equity Fund,6/11/2006,129.6
GC Equity Fund,6/12/2006,129.58
GC Equity Fund,6/13/2006,125.42
GC Equity Fund,6/14/2006,125.61
GC Equity Fund,6/15/2006,126.79
GC Equity Fund,6/16/2006,131.04
GC Equity Fund,6/17/2006,131.04
GC Equity Fund,6/18/2006,131.04
GC Equity Fund,6/19/2006,129.44
GC Equity Fund,6/20/2006,125.89
GC Equity Fund,6/21/2006,125.19
GC Equity Fund,6/22/2006,127.94
GC Equity Fund,6/23/2006,128.03
GC Equity Fund,6/24/2006,128.03
GC Equity Fund,6/25/2006,128.03
GC Equity Fund,6/26/2006,129
GC Equity Fund,6/27/2006,129.68
GC Equity Fund,6/28/2006,129.48
GC Equity Fund,6/29/2006,131.22
GC Equity Fund,6/30/2006,134.07
GC Equity Fund,7/1/2006,134.07
GC Equity Fund,7/2/2006,134.07
GC Equity Fund,7/3/2006,134.83
GC Equity Fund,7/4/2006,135.31
GC Equity Fund,7/5/2006,134.31
GC Equity Fund,7/6/2006,135.2
GC Equity Fund,7/7/2006,135.09
GC Equity Fund,7/8/2006,135.09
GC Equity Fund,7/9/2006,135.09
GC Equity Fund,7/10/2006,136.14
GC Equity Fund,7/11/2006,135.26
GC Equity Fund,7/12/2006,135.25
GC Equity Fund,7/13/2006,133.48
GC Equity Fund,7/14/2006,131.11
GC Equity Fund,7/15/2006,131.11
GC Equity Fund,7/16/2006,131.11
GC Equity Fund,7/17/2006,128.44
GC Equity Fund,7/18/2006,128.82
GC Equity Fund,7/19/2006,128.62
