Type,Date,Price
Global Bond Fund,5/14/2009,101.69
Global Bond Fund,5/15/2009,101.69
Global Bond Fund,5/16/2009,101.69
Global Bond Fund,5/17/2009,101.69
Global Bond Fund,5/18/2009,101.28
Global Bond Fund,5/19/2009,101.28
Global Bond Fund,5/20/2009,101.89
Global Bond Fund,5/21/2009,102.63
Global Bond Fund,5/22/2009,103.04
Global Bond Fund,5/23/2009,103.04
Global Bond Fund,5/24/2009,103.04
Global Bond Fund,5/25/2009,103.01
Global Bond Fund,5/26/2009,102.82
Global Bond Fund,5/27/2009,102.52
Global Bond Fund,5/28/2009,102.52
Global Bond Fund,5/29/2009,102.64
Global Bond Fund,5/30/2009,102.64
Global Bond Fund,5/31/2009,102.64
Global Bond Fund,6/1/2009,103.18
Global Bond Fund,6/2/2009,103.25
Global Bond Fund,6/3/2009,104.21
Global Bond Fund,6/4/2009,103.23
Global Bond Fund,6/5/2009,102.67
Global Bond Fund,6/6/2009,102.67
Global Bond Fund,6/7/2009,102.67
Global Bond Fund,6/8/2009,101.58
Global Bond Fund,6/9/2009,101.64
Global Bond Fund,6/10/2009,102.27
Global Bond Fund,6/11/2009,102
Global Bond Fund,6/12/2009,102.76
Global Bond Fund,6/13/2009,102.76
Global Bond Fund,6/14/2009,102.76
Global Bond Fund,6/15/2009,102.59
Global Bond Fund,6/16/2009,102.16
Global Bond Fund,6/17/2009,102.76
Global Bond Fund,6/18/2009,102.96
Global Bond Fund,6/19/2009,102.89
Global Bond Fund,6/20/2009,102.89
Global Bond Fund,6/21/2009,102.89
Global Bond Fund,6/22/2009,103.31
Global Bond Fund,6/23/2009,103.19
Global Bond Fund,6/24/2009,104.1
Global Bond Fund,6/25/2009,103.86
Global Bond Fund,6/26/2009,104.33
Global Bond Fund,6/27/2009,104.33
Global Bond Fund,6/28/2009,104.33
Global Bond Fund,6/29/2009,104.64
Global Bond Fund,6/30/2009,104.79
Global Bond Fund,7/1/2009,104.79
Global Bond Fund,7/2/2009,105.03
Global Bond Fund,7/3/2009,104.67
Global Bond Fund,7/4/2009,104.67
Global Bond Fund,7/5/2009,104.67
Global Bond Fund,7/6/2009,104.85
