Type,Date,Price
NA Equity Fund,6/9/2003,80.63
NA Equity Fund,6/10/2003,81.41
NA Equity Fund,6/11/2003,82.41
NA Equity Fund,6/12/2003,82.6
NA Equity Fund,6/13/2003,81.62
NA Equity Fund,6/14/2003,83.49
NA Equity Fund,6/15/2003,83.49
NA Equity Fund,6/16/2003,83.49
NA Equity Fund,6/17/2003,83.49
NA Equity Fund,6/18/2003,83.39
NA Equity Fund,6/19/2003,82.22
NA Equity Fund,6/20/2003,82.42
NA Equity Fund,6/21/2003,81.15
NA Equity Fund,6/22/2003,81.15
NA Equity Fund,6/23/2003,81.15
NA Equity Fund,6/24/2003,81.34
NA Equity Fund,6/25/2003,80.74
NA Equity Fund,6/26/2003,81.83
NA Equity Fund,6/27/2003,80.95
NA Equity Fund,6/28/2003,80.75
NA Equity Fund,6/29/2003,80.75
NA Equity Fund,6/30/2003,80.75
NA Equity Fund,7/1/2003,82.11
NA Equity Fund,7/2/2003,82.11
NA Equity Fund,7/3/2003,81.43
NA Equity Fund,7/4/2003,81.42
NA Equity Fund,7/5/2003,83.09
NA Equity Fund,7/6/2003,83.09
NA Equity Fund,7/7/2003,83.09
NA Equity Fund,7/8/2003,83.58
NA Equity Fund,7/9/2003,83.28
NA Equity Fund,7/10/2003,82.1
NA Equity Fund,7/11/2003,82.86
NA Equity Fund,7/12/2003,83.52
NA Equity Fund,7/13/2003,83.52
NA Equity Fund,7/14/2003,83.52
NA Equity Fund,7/15/2003,83.32
NA Equity Fund,7/16/2003,83.03
NA Equity Fund,7/17/2003,81.67
NA Equity Fund,7/18/2003,82.55
NA Equity Fund,7/19/2003,81.37
NA Equity Fund,7/20/2003,81.37
NA Equity Fund,7/21/2003,81.37
NA Equity Fund,7/22/2003,82.05
NA Equity Fund,7/23/2003,82.05
NA Equity Fund,7/24/2003,81.55
NA Equity Fund,7/25/2003,82.85
NA Equity Fund,7/26/2003,82.85
NA Equity Fund,7/27/2003,82.85
NA Equity Fund,7/28/2003,82.85
NA Equity Fund,7/29/2003,82.26
NA Equity Fund,7/30/2003,82.06
NA Equity Fund,7/31/2003,82.65
NA Equity Fund,8/1/2003,81.77
NA Equity Fund,8/2/2003,81.87
NA Equity Fund,8/3/2003,81.87
NA Equity Fund,8/4/2003,81.87
NA Equity Fund,8/5/2003,80.29
NA Equity Fund,8/6/2003,80.29
NA Equity Fund,8/7/2003,80.88
NA Equity Fund,8/8/2003,81.07
NA Equity Fund,8/9/2003,81.46
NA Equity Fund,8/10/2003,81.46
NA Equity Fund,8/11/2003,81.46
NA Equity Fund,8/12/2003,82.45
NA Equity Fund,8/13/2003,82.15
NA Equity Fund,8/14/2003,82.64
NA Equity Fund,8/15/2003,82.64
NA Equity Fund,8/16/2003,83.42
NA Equity Fund,8/17/2003,83.42
NA Equity Fund,8/18/2003,83.42
NA Equity Fund,8/19/2003,83.92
NA Equity Fund,8/20/2003,83.72
NA Equity Fund,8/21/2003,84.12
NA Equity Fund,8/22/2003,83.42
NA Equity Fund,8/23/2003,83.42
NA Equity Fund,8/24/2003,83.42
NA Equity Fund,8/25/2003,83.42
NA Equity Fund,8/26/2003,83.62
NA Equity Fund,8/27/2003,83.71
NA Equity Fund,8/28/2003,84.3
NA Equity Fund,8/29/2003,84.9
NA Equity Fund,8/30/2003,84.9
NA Equity Fund,8/31/2003,84.9
NA Equity Fund,9/1/2003,84.9
NA Equity Fund,9/2/2003,86.19
NA Equity Fund,9/3/2003,86.69
NA Equity Fund,9/4/2003,86.89
NA Equity Fund,9/5/2003,86.2
NA Equity Fund,9/6/2003,86.2
NA Equity Fund,9/7/2003,86.2
NA Equity Fund,9/8/2003,87.08
NA Equity Fund,9/9/2003,86.29
NA Equity Fund,9/10/2003,85.21
NA Equity Fund,9/11/2003,85.89
NA Equity Fund,9/12/2003,85.89
NA Equity Fund,9/13/2003,85.89
NA Equity Fund,9/14/2003,85.89
NA Equity Fund,9/15/2003,85.8
NA Equity Fund,9/16/2003,86.99
NA Equity Fund,9/17/2003,86.7
NA Equity Fund,9/18/2003,87.78
NA Equity Fund,9/19/2003,87.48
NA Equity Fund,9/20/2003,87.48
